"Lines","File","EmptyBlocks","Methods","DebugLog"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Base\POP012_BaseAttacked.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Detection\POP001_EnemyDetected.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Detection\POP002_EnemyLost.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Detection\POP003_TargetAcquired.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Objectives\POP009_ObjectiveAttacked.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Objectives\POP010_ObjectiveCaptured.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Objectives\POP011_ObjectiveLost.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Squad\POP007_SquadDamaged.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Squad\POP008_SquadDestroyed.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Threat\POP013_CriticalThreat.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Threat\POP014_RetreatRecommended.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Threat\POP015_ReinforcementAvailable.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Unit\POP004_UnderAttack.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Unit\POP005_UnitDamaged.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Popups\Combat\Unit\POP006_UnitDestroyed.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Deployment\CAM008_DeploymentPreparation.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Deployment\CAM009_MissionLoading.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Deployment\CAM010_MissionHUD.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Main\CAM001_CampaignHome.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Map\CAM002_CampaignMap.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Map\CAM003_RegionSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Missions\CAM004_MissionSelection.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Missions\CAM005_MissionBriefing.cs","0","1","1"
"15","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Campaign\Missions\CAM006_MissionObjectives.cs","0","1","1"
